run_id,question_id,category,condition,query,retrieved_chunk_ids,retrieved_authority_tags,retrieved_award_years,retrieved_documents,answer,faithfulness,prompt_tokens,completion_tokens,total_tokens,model_name,timestamp
1,S-01,S,Baseline-LLM,What is the maximum Pell Grant I can get for the 2025-26 school year?,,,,,The context does not provide information about the maximum Pell Grant for the 2025-26 school year.,0.0,70,21,91,gpt-4o-mini-2024-07-18,2026-06-09T15:07:35.075683+00:00
2,S-01,S,RAG-Standard,What is the maximum Pell Grant I can get for the 2025-26 school year?,chunk_001599 | chunk_000752 | chunk_001536 | chunk_001535 | chunk_000783,federal-consumer | federal-primary | federal-outdated | federal-outdated | federal-primary,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2025-26,pell_grant.txt | vol7_ch2_202526.txt | vol7_ch2_202425.txt | vol7_ch2_202425.txt | vol7_intro_202526.txt,"The maximum Federal Pell Grant award for the 2025-26 school year is $7,395.",0.0,2039,21,2060,gpt-4o-mini-2024-07-18,2026-06-09T15:07:40.279688+00:00
3,S-01,S,RAG-AuthAware,What is the maximum Pell Grant I can get for the 2025-26 school year?,chunk_000752 | chunk_000783 | chunk_001599 | chunk_001536 | chunk_001535,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol7_ch2_202526.txt | vol7_intro_202526.txt | pell_grant.txt | vol7_ch2_202425.txt | vol7_ch2_202425.txt,The maximum Pell Grant award amount for the 2025-26 school year has not been specified in the provided context. The Department will announce the maximum Pell Grant award amount for that award year when it is available.,1.0,2039,43,2082,gpt-4o-mini-2024-07-18,2026-06-09T15:07:44.587954+00:00
4,M2-01,M2,Baseline-LLM,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",,,,,"No, if you take out a subsidized loan, you do not have to pay interest while you are still in school. The government pays the interest on subsidized loans while you are enrolled at least half-time.",0.0,72,43,115,gpt-4o-mini-2024-07-18,2026-06-09T15:07:46.535816+00:00
5,M2-01,M2,RAG-Standard,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",chunk_001605 | chunk_001604 | chunk_001255 | chunk_000469 | chunk_000506,federal-consumer | federal-consumer | federal-outdated | federal-primary | federal-primary,2025-26 | 2025-26 | 2024-25 | 2025-26 | 2025-26,subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt | vol3_ch1_202526.txt | vol3_ch3_202526.txt,"No, you do not have to pay interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.",0.25,2030,57,2087,gpt-4o-mini-2024-07-18,2026-06-09T15:07:52.840134+00:00
6,M2-01,M2,RAG-AuthAware,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",chunk_000469 | chunk_000506 | chunk_001605 | chunk_001604 | chunk_001255,federal-primary | federal-primary | federal-consumer | federal-consumer | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25,vol3_ch1_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt,"No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.",0.75,2030,58,2088,gpt-4o-mini-2024-07-18,2026-06-09T15:07:59.368351+00:00
7,M3-01,M3,Baseline-LLM,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",,,,,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The specific amounts depend on your financial need, the cost of attendance at your school, and other factors. It's important to check with your school's financial aid office for detailed information regarding your eligibility and the total amount you can receive.",0.0,86,83,169,gpt-4o-mini-2024-07-18,2026-06-09T15:08:02.368001+00:00
8,M3-01,M3,RAG-Standard,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",chunk_001600 | chunk_001599 | chunk_000773 | chunk_001606 | chunk_001611,federal-consumer | federal-consumer | federal-primary | federal-consumer | federal-consumer,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,pell_grant.txt | pell_grant.txt | vol7_ch3_202526.txt | subsidized_loans.txt | work_study.txt,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in loans based on aggregate limits for your level of education. The amount you receive from each type of aid does not affect the others, but your total loan amount cannot exceed the aggregate limit for that level. For specific details on the limits for loans, you should consult your financial aid office.",1.0,1815,93,1908,gpt-4o-mini-2024-07-18,2026-06-09T15:08:14.905539+00:00
9,M3-01,M3,RAG-AuthAware,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",chunk_000773 | chunk_001600 | chunk_001599 | chunk_001606 | chunk_001611,federal-primary | federal-consumer | federal-consumer | federal-consumer | federal-consumer,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,vol7_ch3_202526.txt | pell_grant.txt | pell_grant.txt | subsidized_loans.txt | work_study.txt,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The amount of your Pell Grant will depend on your eligibility and the cost of attendance at your school. For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have reached the maximum borrowing limits. Additionally, your total work-study award will depend on your financial need and your school's funding level. It's important to consult your school's financial aid office for specific details regarding your situation and the total amounts you may be eligible to receive.",1.0,1815,132,1947,gpt-4o-mini-2024-07-18,2026-06-09T15:08:26.998196+00:00
10,C-01,C,Baseline-LLM,Does the government require me to pass 80% of my classes to keep my financial aid?,,,,,"The context does not provide information about specific requirements for passing classes to maintain financial aid. Therefore, I cannot answer your question.",0.0,70,25,95,gpt-4o-mini-2024-07-18,2026-06-09T15:08:27.856698+00:00
