"question_id","category","condition","answer_correctness","scorer_notes"
"S-01","S","Baseline-LLM","0","Says context does not provide info — no answer"
"S-01","S","RAG-Standard","1","Correct: $7,395"
"S-01","S","RAG-AuthAware","0","Wrong: says amount not specified — F≠C failure mode"
"S-02","S","Baseline-LLM","0","Says context does not provide info"
"S-02","S","RAG-Standard","1","Correct: June 30 2026 11:59 CT"
"S-02","S","RAG-AuthAware","1","Correct: same"
"S-03","S","Baseline-LLM","0.5","Correct 12 semesters but omits LEU mechanism"
"S-03","S","RAG-Standard","0.5","Correct 12 terms but no LEU mention"
"S-03","S","RAG-AuthAware","0.5","Correct 12 terms but no LEU mention"
"S-04","S","Baseline-LLM","1","Correct: no repayment required"
"S-04","S","RAG-Standard","1","Correct"
"S-04","S","RAG-AuthAware","1","Correct"
"S-05","S","Baseline-LLM","0","Says context does not provide specific GPA info"
"S-05","S","RAG-Standard","0.5","Mentions SAP but does not specify 2.0 GPA floor"
"S-05","S","RAG-AuthAware","0.5","Mentions SAP standards but no specific 2.0 GPA"
"S-06","S","Baseline-LLM","0","Says context does not provide info"
"S-06","S","RAG-Standard","0","Wrong: states 80% (UW institutional rule) not federal 67%"
"S-06","S","RAG-AuthAware","0","Wrong: states 80% — authority confusion failure"
"S-07","S","Baseline-LLM","0","Says context does not provide info"
"S-07","S","RAG-Standard","0.5","Mentions aid possible but focuses on Campus-Based not Pell/loans"
"S-07","S","RAG-AuthAware","0.5","Similar — partial, mentions Campus-Based but not full answer"
"S-08","S","Baseline-LLM","0","Says context does not provide info"
"S-08","S","RAG-Standard","1","Correct: $5,500 dependent / limits stated"
"S-08","S","RAG-AuthAware","1","Correct"
"S-09","S","Baseline-LLM","0","Says context does not provide info"
"S-09","S","RAG-Standard","0","Says context does not provide aggregate limit — retrieval failure"
"S-09","S","RAG-AuthAware","0","Says context does not provide info — retrieval failure"
"S-10","S","Baseline-LLM","0.5","Correct yes parents income affects aid but no SAI/dependency specifics"
"S-10","S","RAG-Standard","0.5","Correct direction but vague on SAI calculation mechanism"
"S-10","S","RAG-AuthAware","0.5","Same as RAG-Standard"
"S-11","S","Baseline-LLM","0","Says context does not provide info"
"S-11","S","RAG-Standard","0.5","Mentions school policy but misses the one-repetition federal rule"
"S-11","S","RAG-AuthAware","0.5","Similar partial answer — does not state one free repeat rule clearly"
"S-12","S","Baseline-LLM","0","Says context does not provide info"
"S-12","S","RAG-Standard","1","Correct: default = ineligible until resolved"
"S-12","S","RAG-AuthAware","1","Correct"
"S-13","S","Baseline-LLM","1","Correct: six-month grace period"
"S-13","S","RAG-Standard","1","Correct: six months after graduation/leaving/below half-time"
"S-13","S","RAG-AuthAware","1","Correct"
"S-14","S","Baseline-LLM","1","Correct: part-time jobs for students with financial need"
"S-14","S","RAG-Standard","1","Correct"
"S-14","S","RAG-AuthAware","1","Correct"
"S-15","S","Baseline-LLM","0","Says context does not provide info"
"S-15","S","RAG-Standard","1","Correct: scholarships reduce financial need and can reduce aid"
"S-15","S","RAG-AuthAware","1","Correct"
"M2-01","M2","Baseline-LLM","1","Correct: government pays interest while enrolled"
"M2-01","M2","RAG-Standard","1","Correct"
"M2-01","M2","RAG-AuthAware","1","Correct"
"M2-02","M2","Baseline-LLM","1","Correct: yes both at same time"
"M2-02","M2","RAG-Standard","0","Says context does not contain info — generation failure"
"M2-02","M2","RAG-AuthAware","0","Same — generation failure"
"M2-03","M2","Baseline-LLM","1","Correct: half-time reduces Pell Grant proportionally"
"M2-03","M2","RAG-Standard","1","Correct"
"M2-03","M2","RAG-AuthAware","1","Correct"
"M2-04","M2","Baseline-LLM","1","Correct: yes must reapply/update FAFSA"
"M2-04","M2","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M2-04","M2","RAG-AuthAware","0","Same — retrieval failure"
"M2-05","M2","Baseline-LLM","0","Says context does not provide info"
"M2-05","M2","RAG-Standard","0.5","Correct yes but vague on LEU and annual limits"
"M2-05","M2","RAG-AuthAware","0.5","Similar partial answer"
