"question_id","category","question_text","ground_truth_answer","source_documents","section_reference","source_priority_note","contradiction_notes","old_answer_2425","new_answer_2526","chunk_ids_top5"
"S-01","S","What is the maximum Pell Grant I can get for the 2025-26 school year?","The maximum Federal Pell Grant award is $7,395 for the 2025-26 award year.","vol7_ch2_202526.txt","FSA Handbook 2025-26 Vol. 7 Ch. 2 — Calculating Pell Grants","federal-primary (priority 1)","","","","chunk_001599 (pell_grant.txt) | chunk_000752 (vol7_ch2_202526.txt) | chunk_001536 (vol7_ch2_202425.txt) | chunk_001535 (vol7_ch2_202425.txt) | chunk_000783 (vol7_intro_202526.txt)"
"S-02","S","When is the last day I can submit my FAFSA for the 2025-26 school year?","The 2025-26 FAFSA form must be submitted by 11:59 p.m. Central time (CT) on June 30, 2026.","fafsa_deadlines.txt","studentaid.gov — Federal Deadlines 2025-26","federal-consumer (priority 2)","","","","chunk_000794 (avg_ch1_202425.txt) | chunk_001571 (fafsa_deadlines.txt) | chunk_000010 (avg_ch1_202526.txt) | chunk_000910 (avg_ch4_202425.txt) | chunk_000136 (avg_ch4_202526.txt)"
"S-03","S","How many years can I receive a Pell Grant in total?","You can receive the Pell Grant for no more than 12 semesters (or the equivalent), which is measured by your Lifetime Eligibility Used (LEU). Once you reach 100% LEU you are no longer eligible.","pell_grant.txt","studentaid.gov — Pell Grant overview (LEU limit)","federal-consumer (priority 2)","","","","chunk_001600 (pell_grant.txt) | chunk_001535 (vol7_ch2_202425.txt) | chunk_000751 (vol7_ch2_202526.txt) | chunk_001559 (vol7_ch8_202425.txt) | chunk_001599 (pell_grant.txt)"
"S-04","S","Do I have to pay back a Pell Grant?","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","pell_grant.txt","studentaid.gov — Pell Grant overview","federal-consumer (priority 2)","","","","chunk_001601 (pell_grant.txt) | chunk_001600 (pell_grant.txt) | chunk_001598 (pell_grant.txt) | chunk_001599 (pell_grant.txt) | chunk_000529 (vol3_ch3_202526.txt)"
"S-05","S","What GPA do I need to keep my federal financial aid?","Students must maintain a minimum cumulative GPA of 2.0 on a 4.0 scale (or its equivalent) to maintain Satisfactory Academic Progress for federal aid eligibility.","vol1_ch1_202526.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP qualitative measure","federal-primary (priority 1)","","","","chunk_001633 (uw_sap.txt) | chunk_001602 (sap_consumer.txt) | chunk_000166 (vol1_ch1_202526.txt) | chunk_001637 (uw_sap.txt) | chunk_001634 (uw_sap.txt)"
"S-06","S","How much of my attempted credits do I need to complete to keep my federal financial aid?","Students must successfully complete at least 67% of all credit hours they attempt cumulatively.","vol1_ch1_202526.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative measure (pace)","federal-primary (priority 1)","","","","chunk_001634 (uw_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_001637 (uw_sap.txt) | chunk_001625 (pace_sap.txt) | chunk_001597 (how_aid_calculated.txt)"
"S-07","S","Can I get financial aid if I'm enrolled less than half-time or only part-time?","Students enrolled less than half-time may still receive a Pell Grant but are generally not eligible for subsidized or unsubsidized Direct Loans. Half-time enrollment is typically 6 credit hours per semester for undergraduates.","vol7_ch3_202526.txt","FSA Handbook 2025-26 Vol. 7 Ch. 3 — Pell Grant enrollment intensity and COA","federal-primary (priority 1)","","","","chunk_001544 (vol7_ch2_202425.txt) | chunk_000760 (vol7_ch2_202526.txt) | chunk_000619 (vol6_ch1_202526.txt) | chunk_001633 (uw_sap.txt) | chunk_000991 (vol1_ch1_202425.txt)"
"S-08","S","What is the most I can borrow in federal loans as a first-year undergraduate?","First-year dependent undergraduate students may borrow up to $5,500 per year in Direct Loans (no more than $3,500 of which may be subsidized). First-year independent undergraduates may borrow up to $9,500 (no more than $3,500 subsidized).","vol3_ch3_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 3 — Annual loan limits","federal-primary (priority 1)","","","","chunk_001606 (subsidized_loans.txt) | chunk_000510 (vol3_ch3_202526.txt) | chunk_001604 (subsidized_loans.txt) | chunk_001297 (vol3_ch3_202425.txt) | chunk_001298 (vol3_ch3_202425.txt)"
"S-09","S","What is the most I can ever borrow in federal loans as an undergraduate student?","The aggregate loan limit for dependent undergraduates is $31,000 (no more than $23,000 subsidized). For independent undergraduates the limit is $57,500 (no more than $23,000 subsidized).","vol3_ch3_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 3 — Aggregate loan limits","federal-primary (priority 1)","","","","chunk_001606 (subsidized_loans.txt) | chunk_000510 (vol3_ch3_202526.txt) | chunk_001297 (vol3_ch3_202425.txt) | chunk_000507 (vol3_ch3_202526.txt) | chunk_001293 (vol3_ch3_202425.txt)"
"S-10","S","Does my parents' income affect my financial aid even if I pay for school myself?","For dependent students, parental income and assets are included in the SAI calculation regardless of whether the parent contributes financially. A student is considered dependent unless they meet specific federal independence criteria.","avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI calculation, dependency status","federal-primary (priority 1)","","","","chunk_000082 (avg_ch3_202526.txt) | chunk_000857 (avg_ch3_202425.txt) | chunk_000085 (avg_ch3_202526.txt) | chunk_001201 (vol2_intro_202425.txt) | chunk_000420 (vol2_intro_202526.txt)"
