"run_id","question_id","category","condition","query","retrieved_chunk_ids","retrieved_authority_tags","retrieved_award_years","retrieved_documents","answer","faithfulness","prompt_tokens","completion_tokens","total_tokens","model_name","timestamp"
"1","C-01","C","Baseline-LLM","Does the government require me to pass 80% of my classes to keep my financial aid?","","","","","The context does not provide information about specific requirements for passing classes to maintain financial aid. Therefore, I cannot answer your question.","0.0","70","25","95","gpt-4o-mini-2024-07-18","2026-06-12T15:46:46.127255+00:00"
"2","C-01","C","RAG-Standard","Does the government require me to pass 80% of my classes to keep my financial aid?","chunk_001545 | chunk_001281 | chunk_000495 | chunk_000761 | chunk_000166","federal-outdated | federal-outdated | federal-primary | federal-primary | federal-primary","2024-25 | 2024-25 | 2025-26 | 2025-26 | 2025-26","vol7_ch3_202425.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt | vol7_ch3_202526.txt | vol1_ch1_202526.txt","The context provided does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the information available.","1.0","2076","35","2111","gpt-4o-mini-2024-07-18","2026-06-12T15:46:51.430586+00:00"
"3","C-01","C","RAG-AuthAware","Does the government require me to pass 80% of my classes to keep my financial aid?","chunk_000495 | chunk_000761 | chunk_000166 | chunk_001545 | chunk_001281","federal-primary | federal-primary | federal-primary | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25","vol3_ch3_202526.txt | vol7_ch3_202526.txt | vol1_ch1_202526.txt | vol7_ch3_202425.txt | vol3_ch3_202425.txt","The provided context does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the available information.","1.0","2076","35","2111","gpt-4o-mini-2024-07-18","2026-06-12T15:46:53.061235+00:00"
"4","C-02","C","Baseline-LLM","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","","","","","The context does not provide information about a specific GPA requirement set by the federal government for students in education programs to keep their aid. Therefore, I cannot answer that question based on the provided information.","0.0","73","39","112","gpt-4o-mini-2024-07-18","2026-06-12T15:46:54.087115+00:00"
"5","C-02","C","RAG-Standard","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","chunk_000166 | chunk_000942 | chunk_000783 | chunk_001201 | chunk_000420","federal-primary | federal-outdated | federal-primary | federal-outdated | federal-primary","2025-26 | 2024-25 | 2025-26 | 2024-25 | 2025-26","vol1_ch1_202526.txt | vol1_ch1_202425.txt | vol7_intro_202526.txt | vol2_intro_202425.txt | vol2_intro_202526.txt","The context provided does not contain any information regarding a specific GPA requirement, such as a 2.5 GPA, for students in education programs to keep their federal aid. Therefore, I cannot answer that question based on the information available.","1.0","2072","47","2119","gpt-4o-mini-2024-07-18","2026-06-12T15:46:56.342184+00:00"
"6","C-02","C","RAG-AuthAware","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","chunk_000166 | chunk_000783 | chunk_000420 | chunk_000942 | chunk_001201","federal-primary | federal-primary | federal-primary | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25","vol1_ch1_202526.txt | vol7_intro_202526.txt | vol2_intro_202526.txt | vol1_ch1_202425.txt | vol2_intro_202425.txt","The context provided does not contain any information regarding GPA requirements for students in education programs to keep their federal aid. Therefore, I cannot answer that question.","1.0","2072","30","2102","gpt-4o-mini-2024-07-18","2026-06-12T15:46:57.917693+00:00"
"7","C-03","C","Baseline-LLM","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","","","","","The context does not provide information about federal rules regarding the completion percentage of classes after taking a certain number of credits. Therefore, I cannot determine if this requirement is a federal rule.","0.0","79","36","115","gpt-4o-mini-2024-07-18","2026-06-12T15:46:58.798440+00:00"
"8","C-03","C","RAG-Standard","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","chunk_001638 | chunk_001637 | chunk_001634 | chunk_001633 | chunk_000761","institutional | institutional | institutional | institutional | federal-primary","N/A | N/A | N/A | N/A | 2025-26","uw_sap.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt | vol7_ch3_202526.txt","The context does not provide information about a federal rule requiring students to complete 70% of their classes after taking more than 96 credits. The completion percentage mentioned in the context for graduate and professional students is 67%, and for undergraduates, it is 80%. Therefore, the requirement from your school is not mentioned in the provided context and may be specific to your institution.","0.6","1964","76","2040","gpt-4o-mini-2024-07-18","2026-06-12T15:47:06.430457+00:00"
"9","C-03","C","RAG-AuthAware","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","chunk_000761 | chunk_001638 | chunk_001637 | chunk_001634 | chunk_001633","federal-primary | institutional | institutional | institutional | institutional","2025-26 | N/A | N/A | N/A | N/A","vol7_ch3_202526.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt","The information provided does not indicate that a federal rule requires students to complete 70% of their classes after taking more than 96 credits. The context mentions different requirements for satisfactory academic progress, but it does not specify a federal rule regarding the completion percentage after a certain number of credits. Therefore, it appears to be an institutional policy rather than a federal rule.","0.75","1964","72","2036","gpt-4o-mini-2024-07-18","2026-06-12T15:47:12.046160+00:00"
"10","C-04","C","Baseline-LLM","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","","","","","Yes, the federal government does set a maximum time limit for how long you can take to finish your degree and still receive federal student aid. Generally, you must complete your program within 150% of the published length of the program. For example, if your degree program is designed to take four years, you would have up to six years to complete it and still be eligible for federal aid.","0.0","75","79","154","gpt-4o-mini-2024-07-18","2026-06-12T15:47:13.380887+00:00"
