run_id,question_id,category,condition,query,retrieved_chunk_ids,retrieved_authority_tags,retrieved_award_years,retrieved_documents,answer,faithfulness,prompt_tokens,completion_tokens,total_tokens,model_name,timestamp
1,S-01,S,Baseline-LLM,What is the maximum Pell Grant I can get for the 2025-26 school year?,,,,,The context does not provide information about the maximum Pell Grant for the 2025-26 school year.,0.0,70,21,91,gpt-4o-mini-2024-07-18,2026-06-12T15:31:03.402450+00:00
2,S-01,S,RAG-Standard,What is the maximum Pell Grant I can get for the 2025-26 school year?,chunk_001599 | chunk_000752 | chunk_001536 | chunk_001535 | chunk_000783,federal-consumer | federal-primary | federal-outdated | federal-outdated | federal-primary,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2025-26,pell_grant.txt | vol7_ch2_202526.txt | vol7_ch2_202425.txt | vol7_ch2_202425.txt | vol7_intro_202526.txt,"The maximum Federal Pell Grant award for the 2025-26 school year is $7,395.",0.0,2039,21,2060,gpt-4o-mini-2024-07-18,2026-06-12T15:31:08.892067+00:00
3,S-01,S,RAG-AuthAware,What is the maximum Pell Grant I can get for the 2025-26 school year?,chunk_000752 | chunk_000783 | chunk_001599 | chunk_001536 | chunk_001535,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol7_ch2_202526.txt | vol7_intro_202526.txt | pell_grant.txt | vol7_ch2_202425.txt | vol7_ch2_202425.txt,The maximum Pell Grant award amount for the 2025-26 school year has not been specified in the provided context. The Department will announce the maximum Pell Grant award amount for that award year when it is available.,1.0,2039,43,2082,gpt-4o-mini-2024-07-18,2026-06-12T15:31:12.967181+00:00
4,S-02,S,Baseline-LLM,When is the last day I can submit my FAFSA for the 2025-26 school year?,,,,,The context does not provide information about the last day to submit the FAFSA for the 2025-26 school year.,0.0,71,24,95,gpt-4o-mini-2024-07-18,2026-06-12T15:31:13.739773+00:00
5,S-02,S,RAG-Standard,When is the last day I can submit my FAFSA for the 2025-26 school year?,chunk_000794 | chunk_001571 | chunk_000010 | chunk_000910 | chunk_000136,federal-outdated | federal-consumer | federal-primary | federal-outdated | federal-primary,2024-25 | 2025-26 | 2025-26 | 2024-25 | 2025-26,avg_ch1_202425.txt | fafsa_deadlines.txt | avg_ch1_202526.txt | avg_ch4_202425.txt | avg_ch4_202526.txt,"The last day you can submit your FAFSA for the 2025-26 school year is June 30, 2026, by 11:59 p.m. Central time (CT).",1.0,2081,39,2120,gpt-4o-mini-2024-07-18,2026-06-12T15:31:18.375879+00:00
6,S-02,S,RAG-AuthAware,When is the last day I can submit my FAFSA for the 2025-26 school year?,chunk_000010 | chunk_000136 | chunk_001571 | chunk_000794 | chunk_000910,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,avg_ch1_202526.txt | avg_ch4_202526.txt | fafsa_deadlines.txt | avg_ch1_202425.txt | avg_ch4_202425.txt,"The last day you can submit your FAFSA for the 2025-26 school year is June 30, 2026, by 11:59 p.m. Central time (CT).",1.0,2081,39,2120,gpt-4o-mini-2024-07-18,2026-06-12T15:31:24.547254+00:00
7,S-03,S,Baseline-LLM,How many years can I receive a Pell Grant in total?,,,,,"You can receive a Pell Grant for a maximum of 12 semesters, which is equivalent to about six years of funding.",0.0,63,24,87,gpt-4o-mini-2024-07-18,2026-06-12T15:31:25.254106+00:00
8,S-03,S,RAG-Standard,How many years can I receive a Pell Grant in total?,chunk_001600 | chunk_001535 | chunk_000751 | chunk_001559 | chunk_001599,federal-consumer | federal-outdated | federal-primary | federal-outdated | federal-consumer,2025-26 | 2024-25 | 2025-26 | 2024-25 | 2025-26,pell_grant.txt | vol7_ch2_202425.txt | vol7_ch2_202526.txt | vol7_ch8_202425.txt | pell_grant.txt,You can receive a Pell Grant for no more than 12 full-time terms or the equivalent of roughly six years.,1.0,1946,23,1969,gpt-4o-mini-2024-07-18,2026-06-12T15:31:28.792556+00:00
9,S-03,S,RAG-AuthAware,How many years can I receive a Pell Grant in total?,chunk_000751 | chunk_001600 | chunk_001599 | chunk_001535 | chunk_001559,federal-primary | federal-consumer | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol7_ch2_202526.txt | pell_grant.txt | pell_grant.txt | vol7_ch2_202425.txt | vol7_ch8_202425.txt,You can receive a Federal Pell Grant for no more than 12 full-time terms or the equivalent of roughly six years.,1.0,1946,24,1970,gpt-4o-mini-2024-07-18,2026-06-12T15:31:34.253642+00:00
10,S-04,S,Baseline-LLM,Do I have to pay back a Pell Grant?,,,,,"No, you do not have to pay back a Pell Grant. Pell Grants are a form of financial aid that does not need to be repaid, as long as you meet the eligibility requirements and complete your program of study.",0.0,61,45,106,gpt-4o-mini-2024-07-18,2026-06-12T15:31:35.886790+00:00
