"run_id","question_id","category","condition","query","answer","ground_truth_answer","my_score","supervisor_score","notes"
"2","C-01","C","RAG-Standard","Does the government require me to pass 80% of my classes to keep my financial aid?","The context provided does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the information available.","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","0.0","",""
"4","C-02","C","Baseline-LLM","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","The context does not provide information about a specific GPA requirement set by the federal government for students in education programs to keep their aid. Therefore, I cannot answer that question based on the provided information.","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","0.0","",""
"6","C-02","C","RAG-AuthAware","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","The context provided does not contain any information regarding GPA requirements for students in education programs to keep their federal aid. Therefore, I cannot answer that question.","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","0.0","",""
"7","C-03","C","Baseline-LLM","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","The context does not provide information about federal rules regarding the completion percentage of classes after taking a certain number of credits. Therefore, I cannot determine if this requirement is a federal rule.","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","0.0","",""
"8","C-03","C","RAG-Standard","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","The context does not provide information about a federal rule requiring students to complete 70% of their classes after taking more than 96 credits. The completion percentage mentioned in the context for graduate and professional students is 67%, and for undergraduates, it is 80%. Therefore, the requirement from your school is not mentioned in the provided context and may be specific to your institution.","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","0.5","",""
"10","C-04","C","Baseline-LLM","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","Yes, the federal government does set a maximum time limit for how long you can take to finish your degree and still receive federal student aid. Generally, you must complete your program within 150% of the published length of the program. For example, if your degree program is designed to take four years, you would have up to six years to complete it and still be eligible for federal aid.","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","1.0","",""
"12","C-04","C","RAG-AuthAware","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","The context does not provide specific information about a federal government-set maximum time limit for completing a degree to remain eligible for financial aid. It mentions that schools must apply their own standards consistently, but does not specify federal limits. Therefore, I cannot answer your question based on the provided information.","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","0.0","",""
"18","M2-01","M2","RAG-AuthAware","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","1.0","",""
"19","M2-02","M2","Baseline-LLM","Can I get a Pell Grant and a Work-Study job at the same time?","Yes, you can receive a Pell Grant and have a Work-Study job at the same time.","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","1.0","",""
"20","M2-02","M2","RAG-Standard","Can I get a Pell Grant and a Work-Study job at the same time?","The context does not provide information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the provided information.","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","0.0","",""
"36","M2-07","M2","RAG-AuthAware","What is the difference between a subsidized and an unsubsidized loan?","Direct Subsidized Loans are available to undergraduate students with financial need, and the U.S. Department of Education pays the interest on these loans while the student is in school at least half-time, during the grace period, and during deferment. 

In contrast, Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without the requirement to demonstrate financial need. The borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","1.0","",""
"41","M2-09","M2","RAG-Standard","Does my financial aid get affected if I change my major?","The provided context does not contain information regarding the impact of changing a major on financial aid. Therefore, I cannot answer your question based on the available information.","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","0.0","",""
"45","M2-10","M2","RAG-AuthAware","What happens to my financial aid if I take a semester off?","The context does not provide specific information about what happens to financial aid if a student takes a semester off. Therefore, I cannot answer your question clearly based on the provided information.","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","0.0","",""
