"question_id","category","condition","question_text","ground_truth_answer","llm_answer","source_priority_note","answer_correctness","scorer_notes"
"S-01","S","Baseline-LLM","What is the maximum Pell Grant I can get for the 2025-26 school year?","The maximum Federal Pell Grant award is $7,395 for the 2025-26 award year.","The context does not provide information about the maximum Pell Grant for the 2025-26 school year.","federal-primary (priority 1)","",""
"S-01","S","RAG-Standard","What is the maximum Pell Grant I can get for the 2025-26 school year?","The maximum Federal Pell Grant award is $7,395 for the 2025-26 award year.","The maximum Federal Pell Grant award for the 2025-26 school year is $7,395.","federal-primary (priority 1)","",""
"S-01","S","RAG-AuthAware","What is the maximum Pell Grant I can get for the 2025-26 school year?","The maximum Federal Pell Grant award is $7,395 for the 2025-26 award year.","The maximum Pell Grant award amount for the 2025-26 school year has not been specified in the provided context. The Department will announce the maximum Pell Grant award amount for that award year when it is available.","federal-primary (priority 1)","",""
"S-02","S","Baseline-LLM","When is the last day I can submit my FAFSA for the 2025-26 school year?","The 2025-26 FAFSA form must be submitted by 11:59 p.m. Central time (CT) on June 30, 2026.","The context does not provide information about the last day to submit the FAFSA for the 2025-26 school year.","federal-consumer (priority 2)","",""
"S-02","S","RAG-Standard","When is the last day I can submit my FAFSA for the 2025-26 school year?","The 2025-26 FAFSA form must be submitted by 11:59 p.m. Central time (CT) on June 30, 2026.","The last day you can submit your FAFSA for the 2025-26 school year is June 30, 2026, by 11:59 p.m. Central time (CT).","federal-consumer (priority 2)","",""
"S-02","S","RAG-AuthAware","When is the last day I can submit my FAFSA for the 2025-26 school year?","The 2025-26 FAFSA form must be submitted by 11:59 p.m. Central time (CT) on June 30, 2026.","The last day you can submit your FAFSA for the 2025-26 school year is June 30, 2026, by 11:59 p.m. Central time (CT).","federal-consumer (priority 2)","",""
"S-03","S","Baseline-LLM","How many years can I receive a Pell Grant in total?","You can receive the Pell Grant for no more than 12 semesters (or the equivalent), which is measured by your Lifetime Eligibility Used (LEU). Once you reach 100% LEU you are no longer eligible.","You can receive a Pell Grant for a maximum of 12 semesters, which is equivalent to about six years of funding.","federal-consumer (priority 2)","",""
"S-03","S","RAG-Standard","How many years can I receive a Pell Grant in total?","You can receive the Pell Grant for no more than 12 semesters (or the equivalent), which is measured by your Lifetime Eligibility Used (LEU). Once you reach 100% LEU you are no longer eligible.","You can receive a Pell Grant for no more than 12 full-time terms or the equivalent of roughly six years.","federal-consumer (priority 2)","",""
"S-03","S","RAG-AuthAware","How many years can I receive a Pell Grant in total?","You can receive the Pell Grant for no more than 12 semesters (or the equivalent), which is measured by your Lifetime Eligibility Used (LEU). Once you reach 100% LEU you are no longer eligible.","You can receive a Federal Pell Grant for no more than 12 full-time terms or the equivalent of roughly six years.","federal-consumer (priority 2)","",""
"S-04","S","Baseline-LLM","Do I have to pay back a Pell Grant?","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","No, you do not have to pay back a Pell Grant. Pell Grants are a form of financial aid that does not need to be repaid, as long as you meet the eligibility requirements and complete your program of study.","federal-consumer (priority 2)","",""
"S-04","S","RAG-Standard","Do I have to pay back a Pell Grant?","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.","federal-consumer (priority 2)","",""
